year_ceremony,Category,name,film
1976,Best Actor in supporting role,George Burns,The Sunshine Boys
1976,Best Actress,Louise Fletcher,One Flew over the Cuckoo's Nest
1976,ACTRESS IN A SUPPORTING ROLE,Lee Grant,Shampoo
1977,Best Actor,Peter Finch,Network
1977,Best Actor in supporting role,Jason Robards,All the President's Men
1977,Best Actress,Faye Dunaway,Network
1977,ACTRESS IN A SUPPORTING ROLE,Beatrice Straight,Network
1978,Best Actor,Richard Dreyfuss,The Goodbye Girl
1978,Best Actor in supporting role,Jason Robards,Julia
1978,Best Actress,Diane Keaton,Annie Hall
1978,ACTRESS IN A SUPPORTING ROLE,Vanessa Redgrave,Julia
1979,Best Actor,Jon Voight,Coming Home
1979,Best Actor in supporting role,Christopher Walken,The Deer Hunter
1979,Best Actress,Jane Fonda,Coming Home
1979,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,California Suite
1980,Best Actor,Dustin Hoffman,Kramer vs. Kramer
1980,Best Actor in supporting role,Melvyn Douglas,Being There
1980,Best Actress,Sally Field,Norma Rae
1980,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,Kramer vs. Kramer
1981,Best Actor,Robert De Niro,Raging Bull
1981,Best Actor in supporting role,Timothy Hutton,Ordinary People
1981,Best Actress,Sissy Spacek,Coal Miner's Daughter
1981,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen,Melvin and Howard
1982,Best Actor,Henry Fonda,On Golden Pond
1982,Best Actor in supporting role,John Gielgud,Arthur
1982,Best Actress,Katharine Hepburn,On Golden Pond
1982,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Reds
1983,Best Actor,Ben Kingsley,Gandhi
1983,Best Actor in supporting role,"Louis Gossett, Jr.",An Officer and a Gentleman
1983,Best Actress,Meryl Streep,Sophie's Choice
1983,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,Tootsie
1984,Best Actor,Robert Duvall,Tender Mercies
1984,Best Actor in supporting role,Jack Nicholson,Terms of Endearment
1984,Best Actress,Shirley MacLaine,Terms of Endearment
1984,ACTRESS IN A SUPPORTING ROLE,Linda Hunt,The Year of Living Dangerously
1985,Best Actor,F. Murray Abraham,Amadeus
1985,Best Actor in supporting role,Haing S. Ngor,The Killing Fields
1985,Best Actress,Sally Field,Places in the Heart
1985,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,A Passage to India
1986,Best Actor,William Hurt,Kiss of the Spider Woman
1986,Best Actor in supporting role,Don Ameche,Cocoon
1986,Best Actress,Geraldine Page,The Trip to Bountiful
1986,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston,Prizzi's Honor
1987,Best Actor,Paul Newman,The Color of Money
1987,Best Actor in supporting role,Michael Caine,Hannah and Her Sisters
1987,Best Actress,Marlee Matlin,Children of a Lesser God
1987,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Hannah and Her Sisters
1988,Best Actor,Michael Douglas,Wall Street
1988,Best Actor in supporting role,Sean Connery,The Untouchables
1988,Best Actress,Cher,Moonstruck
1988,ACTRESS IN A SUPPORTING ROLE,Olympia Dukakis,Moonstruck
1989,Best Actor,Dustin Hoffman,Rain Man
1989,Best Actor in supporting role,Kevin Kline,A Fish Called Wanda
1989,Best Actress,Jodie Foster,The Accused
1989,ACTRESS IN A SUPPORTING ROLE,Geena Davis,The Accidental Tourist
1990,Best Actor,Daniel Day Lewis,My Left Foot
1990,Best Actor in supporting role,Denzel Washington,Glory
1990,Best Actress,Jessica Tandy,Driving Miss Daisy
1990,ACTRESS IN A SUPPORTING ROLE,Brenda Fricker,My Left Foot
1991,Best Actor,Jeremy Irons,Reversal of Fortune
1991,Best Actor in supporting role,Joe Pesci,Good Fellas
1991,Best Actress,Kathy Bates,Misery
1991,ACTRESS IN A SUPPORTING ROLE,Whoopi Goldberg,Ghost
1992,Best Actor,Anthony Hopkins,The Silence of the Lambs
1992,Best Actor in supporting role,Jack Palance,City Slickers
1992,Best Actress,Jodie Foster,The Silence of the Lambs
1992,ACTRESS IN A SUPPORTING ROLE,Mercedes Ruehl,The Fisher King
1993,Best Actor,Al Pacino,Scent of a Woman
1993,Best Actor in supporting role,Gene Hackman,Unforgiven
1993,Best Actress,Emma Thompson,Howards End
1993,ACTRESS IN A SUPPORTING ROLE,Marisa Tomei,My Cousin Vinny
1994,Best Actor,Tom Hanks,Philadelphia
1994,Best Actor in supporting role,Tommy Lee Jones,The Fugitive
1994,Best Actress,Holly Hunter,The Piano
1994,ACTRESS IN A SUPPORTING ROLE,Anna Paquin,The Piano
1995,Best Actor,Tom Hanks,Forrest Gump
1995,Best Actor in supporting role,Martin Landau,Ed Wood
1995,Best Actress,Jessica Lange,Blue Sky
1995,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Bullets over Broadway
1996,Best Actor,Nicolas Cage,Leaving Las Vegas
1996,Best Actor in supporting role,Kevin Spacey,The Usual Suspects
1996,Best Actress,Susan Sarandon,Dead Man Walking
1996,ACTRESS IN A SUPPORTING ROLE,Mira Sorvino,Mighty Aphrodite
1997,Best Actor,Geoffrey Rush,Shine
